3.763e+006	30120	6.1925e+005	2.144e+005	4.863e+005	9.5111e+005	4.1369e+006	3.886e+006	3.6992e+006	3.106e+005	1.4492e+005	13528	380.73
2.9479e+006	1.1306e+005	3.694e+005	52047	4.1971e+005	7.4649e+005	2.6652e+006	2.3745e+006	2.1021e+006	1.8655e+005	99013	8746.4	116.08
8.7184e+006	41947	8.0759e+005	1.8855e+005	1.0501e+006	1.9786e+006	6.1927e+006	5.467e+006	4.6392e+006	5.5035e+005	3.6321e+005	30779	2499.2
4.1921e+006	12173	5.251e+005	47580	5.0215e+005	9.0937e+005	3.4072e+006	3.1851e+006	2.7671e+006	1.9461e+005	88455	4328	92.016
4.1688e+006	38577	8.3651e+005	1.2586e+005	4.4432e+005	8.5291e+005	4.0146e+006	3.9258e+006	3.661e+006	2.4884e+005	1.1085e+005	7742.6	161.22
2.5808e+006	55098	9.5925e+005	1.0825e+005	3.3669e+005	5.7046e+005	3.3706e+006	3.2996e+006	3.1107e+006	1.7148e+005	69147	7475.6	334.61
2.5772e+006	34548	1.2989e+006	1.8495e+005	3.3628e+005	6.4818e+005	4.123e+006	4.1183e+006	3.8094e+006	2.1466e+005	1.0041e+005	4557.1	2136.9
3.34e+006	94670	3.3967e+005	5.4116e+005	1.2896e+005	5.5011e+005	1.6746e+006	1.4289e+006	1.0561e+006	2.882e+005	42825	1690.2	49.424
1.8451e+007	2.7491e+005	2.4875e+006	8.5126e+005	2.4392e+006	5.4786e+006	8.6172e+006	5.6746e+006	4.8092e+006	2.5787e+006	3.0847e+005	32898	19831
2.3632e+007	5.0281e+005	2.9404e+006	5.8399e+005	3.466e+006	7.1744e+006	9.9358e+006	6.1232e+006	5.779e+006	3.3894e+006	4.6175e+005	34416	2636.7
1.3963e+008	4.0451e+006	1.0775e+007	9.5366e+005	2.5214e+007	4.8678e+007	6.0806e+007	4.4189e+007	3.242e+007	1.2591e+007	2.476e+006	1.7027e+005	7701.9
8.8207e+007	3.1724e+006	4.6813e+006	5.2102e+005	1.4936e+007	2.9588e+007	3.9505e+007	2.9623e+007	2.1996e+007	6.9707e+006	1.5353e+006	95215	39321
4.8508e+007	1.4901e+006	1.7191e+006	1.5074e+005	6.2467e+006	1.2215e+007	2.1252e+007	1.7662e+007	1.4072e+007	3.2203e+006	7.6781e+005	30989	3605.7
1.5517e+007	2.5123e+005	1.5912e+006	99729	1.5213e+006	2.8481e+006	8.8265e+006	8.4083e+006	7.368e+006	1.083e+006	1.661e+005	1.0469e+005	3998.5
1.1936e+007	56044	2.1636e+006	83867	9.0713e+005	1.8436e+006	8.2424e+006	8.4587e+006	7.9915e+006	1.0228e+006	2.4254e+005	18126	1738.8
4.75e+006	20906	2.5015e+006	1.5507e+005	4.6807e+005	1.0389e+006	5.9607e+006	6.164e+006	5.9042e+006	4.747e+005	1.764e+005	5632.2	670.86
3.391e+006	2679.5	1.9279e+006	1.5182e+005	4.3263e+005	8.2295e+005	5.2065e+006	5.2146e+006	4.9324e+006	3.156e+005	1.372e+005	5407.6	421.59
6.4302e+006	5.2768e+005	98694	1.6751e+005	2.7858e+005	1.8964e+005	3.3423e+005	3.046e+005	2.7862e+005	33223	5668	476.94	521.23
8.8998e+006	1.2129e+005	53830	33541	4.4076e+005	5.8787e+005	1.8114e+006	1.7369e+006	1.8522e+006	2.3747e+005	37259	2195.1	245.71
2.0501e+007	9.1358e+005	1.8584e+005	5.4977e+005	2.5459e+006	2.5632e+006	6.8592e+006	7.4495e+006	7.4088e+006	1.1113e+006	2.0659e+005	9708.4	1502.3
3.3263e+007	1.6346e+005	1.5872e+006	2.2686e+005	4.2496e+006	7.8673e+006	1.571e+007	1.3975e+007	1.4606e+007	3.5364e+006	3.9115e+005	40848	4516.4
3.7715e+007	4.5065e+005	3.398e+006	7.5919e+005	6.015e+006	1.2786e+007	2.3476e+007	1.9193e+007	1.9576e+007	4.8379e+006	5.7856e+005	47873	2421.5
4.1259e+007	1.0977e+005	3.2822e+006	4.5916e+005	5.6678e+006	1.173e+007	2.1665e+007	1.75e+007	1.7529e+007	4.4509e+006	5.3165e+005	38489	4164.4
2.475e+007	12250	1.7375e+006	1.2997e+005	2.5549e+006	4.9554e+006	1.3887e+007	1.3064e+007	1.3117e+007	2.5356e+006	3.7531e+005	29273	2652.3
1.3908e+007	1.2927e+005	4.0724e+006	3.9864e+005	1.2265e+006	2.6285e+006	1.3111e+007	1.382e+007	1.3945e+007	2.4361e+006	3.2817e+005	25772	2010.3
1.3529e+007	51491	3.5866e+006	1.8594e+005	1.3453e+006	2.1164e+006	1.1914e+007	1.2753e+007	1.2821e+007	2.2045e+006	2.8446e+005	23048	1041.1
6.867e+006	89352	3.8778e+006	4.2976e+005	6.6494e+005	1.5667e+006	9.5505e+006	1.0306e+007	1.051e+007	1.7569e+006	2.1726e+005	10820	849.47

