ID,DIVISION,LOCATION,IMAGE_LINK,VIDEO_LINK,LATITUDE,LONGITUDE,Location_1
Drfn252,Molonglo Valley (Rural Dist.),National Arboretum  Canberra Playspace,,,-35.287286,149.068947,"(-35.287286, 149.068947)"
Drfn311,Lawson,Wanderlight Avenue Neibourhood Playground,,,-35.229428,149.091824,"(-35.229428, 149.091824)"
Drfn312,Kingston,Trevillian Quay Pedestrian Parkland,,,-35.310789,149.14799,"(-35.310789, 149.14799)"
Drfn314,Kingston,Trevillian Quay Road Verge,,,-35.311432,149.145854,"(-35.311432, 149.145854)"
Drfn313,Kingston,Trevillian Quay Pedestrian Parkland,,,-35.310356,149.145179,"(-35.310356, 149.145179)"
Drfn28,Isaacs,Dumolo Place  Neighbourhood Park,,,-35.368087,149.111343,"(-35.368087, 149.111343)"
Drfn229,Forde,Bruce Dittmar Central Neighbourhood Park,,,-35.176007,149.144982,"(-35.176007, 149.144982)"
Drfn202,Weston Creek (Rural Dist.),Lady Denman Drive - Pedestrian Parkland,,,-35.30053,149.073052,"(-35.30053, 149.073052)"
Drfn291,Majura (Rural Dist.),Mount Ainslie Nature Reserve,,,-35.270011,149.157947,"(-35.270011, 149.157947)"
Drfn246,Canberra Central (Rural Dist.),Lady Denman Drive Road Verge,,,-35.285145,149.088124,"(-35.285145, 149.088124)"
Drfn316,Belconnen,Margaret Timpson Park,,,-35.238235,149.068464,"(-35.238235, 149.068464)"
Drfn317,Greenway,Anketell Street Neighbourhood Park,,,-35.420218,149.072875,"(-35.420218, 149.072875)"
Drfn318,Throsby,Bettong Avenue Neighbourhood Park,,,-35.187922,149.161726,"(-35.187922, 149.161726)"
Drfn319,Greenway,Tuggeranong Town Centre Anketell Street,,,-35.41573,149.067829,"(-35.41573, 149.067829)"
Drfn46,Dickson,Dickson Shopping Centre,,,-35.250069,149.139367,"(-35.250069, 149.139367)"
Drfn321,Belconnen,Diddams Close Semi Natural Open Space,,,-35.229427,149.073917,"(-35.229427, 149.073917)"
Drfn327,Forde,Pahlman Street Neighbourhood Park,,,-35.168178,149.146642,"(-35.168178, 149.146642)"
Drfn324,Ngunnawal,Paul Coe Crescent Road Median,,,-35.174599,149.119911,"(-35.174599, 149.119911)"
Drfn320,Campbell,Pentland Street Road Verge,,,-35.290002,149.144025,"(-35.290002, 149.144025)"
Drfn337,Casey,Yeend Avenue Pedestrian Parkland,,,-35.167334,149.098497,"(-35.167334, 149.098497)"
Drfn322,Belconnen,Emu Bank Pedestrian Parkland,,,-35.239112,149.07189,"(-35.239112, 149.07189)"
Drfn336,Hackett,Hackett Neighbourhood Oval,,,-35.251945,149.160056,"(-35.251945, 149.160056)"
Drfn326,Forde,Ray Ellis Crescent District Park,,,-35.172949,149.141493,"(-35.172949, 149.141493)"
Drfn315,Yarralumla,Lennox Gardens,,,-35.298467,149.120429,"(-35.298467, 149.120429)"
Drfn328,Deakin,Deakin District Playing Field,,,-35.32084,149.091477,"(-35.32084, 149.091477)"
Drfn323,Cook,Cook Shopping Centre,,,-35.259147,149.063705,"(-35.259147, 149.063705)"
Drfn333,Greenway,Lake Tuggeranong District Park,,,-35.411,149.071592,"(-35.411, 149.071592)"
Drfn332,Kambah,Kambah District Playing Field 3,,,-35.382587,149.059863,"(-35.382587, 149.059863)"
Drfn335,Calwell,Samuel Close Neighbourhood Park,,,-35.43721,149.113939,"(-35.43721, 149.113939)"
Drfn331,Curtin,Curtin District Playing Field,,,-35.318418,149.080295,"(-35.318418, 149.080295)"
Drfn325,Harrison,Harrison District Playing Fields,,,-35.19942,149.154876,"(-35.19942, 149.154876)"
